City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Newcastle,AU,75.97,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
550,Camana,PE,70.74,broken clouds,-16.6228,-72.7111,Hostal Morales
551,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
554,Nioki,CD,72.46,overcast clouds,-2.7167,17.6833,
557,Puri,IN,68.52,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
558,Taltal,CL,67.05,few clouds,-25.4,-70.4833,Residencial Karime
560,Weligama,LK,81.72,scattered clouds,5.9667,80.4167,Weligama Bay Resort
563,Aitape,PG,84.87,overcast clouds,-3.1374,142.3475,
566,Waw,SS,66.45,scattered clouds,7.7029,27.9953,Universal Gab Hotel
568,Bisho,ZA,61.43,broken clouds,-32.8472,27.4422,Bisho Park bnb
570,America Dourada,BR,68.45,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
574,Bundaberg,AU,82.69,broken clouds,-24.85,152.35,Takalvan Motel
575,Marsabit,KE,64.8,overcast clouds,2.3284,37.9899,Chicho Hotel
577,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
578,Beloha,MG,74.43,overcast clouds,-25.1667,45.05,
579,Sur,OM,72.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
580,Soyo,AO,77.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
581,Gamba,GA,76.21,overcast clouds,-2.65,10.0,
582,Paratebueno,CO,77.86,overcast clouds,4.3758,-73.2155,Casa Hotel Paratebueno
585,Yangambi,CD,68.02,broken clouds,0.8102,24.4336,
586,Batemans Bay,AU,73.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
587,Henties Bay,,66.85,overcast clouds,-22.116,14.2845,Fishermans Guest House
588,Makakilo City,US,75.29,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
589,Aden,YE,77.07,broken clouds,12.7794,45.0367,Sama Emirate Hotel
591,Banda Aceh,ID,84.0,overcast clouds,5.5577,95.3222,Sulthan Hotel International
593,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
600,Wollongong,AU,75.07,light rain,-34.4333,150.8833,Flinders Motel
